Address,Beds,Price,Price_per_bed
"295 Dufferin St., Toronto, ON, M6K 1Z6",2,2591.0,1295.5
"51 Guestville Ave, York, ON M6N 4N1, Canada",1,1295.0,1295.0
"89 Chestnut St, Toronto, ON M5G 1R1, Canada",1,550.0,550.0
"Front St W, Toronto, ON M5V 3S8, Canada",2,3200.0,1600.0
"10 York Street, Toronto, ON, M5J 0E1",1,2200.0,2200.0
"220 Victoria St, Toronto, ON M5B 2R6, Canada",2,3099.0,1549.5
"28 Wellesley St E, Toronto, ON M4Y, Canada",2,3700.0,1850.0
"Temperance St, Toronto, ON M5H 0B1, Canada",2,3000.0,1500.0
", Toronto M5J 0B8 ON, Canada",2,1500.0,750.0
"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",2,2999.0,1499.5
"125 Western Battey st, M6k 3s2, Toronto, ON",1,2100.0,2100.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1775.0,887.5
"2304  Weston Road, Toronto, ON, M9N 1Z3",3,2050.0,683.3333333333334
"2304  Weston Road, Toronto, ON, M9N 1Z3",1,1525.0,1525.0
"2304  Weston Road, Toronto, ON, M9N 1Z3",2,1799.0,899.5
"1275  Brant St, Burlington, ON, L7P 1X7",2,1875.0,937.5
"700  Ross Street, Burlington, ON, L7S 1S2",2,1625.0,812.5
"361 Front St W, Toronto, ON M5V 3R5, Canada",1,2150.0,2150.0
"50 Charles St E, Toronto, ON M4Y 1T1, Canada",1,2000.0,2000.0
"87 Peter St, Toronto, ON M5V 0P1, Canada",1,2100.0,2100.0
"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",2,2300.0,1150.0
"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada",2,4100.0,2050.0
", M5G2E8, Toronto, ON",1,1200.0,1200.0
"m1s0l7, Canada",2,2184.0,1092.0
"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada",2,2350.0,1175.0
"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada",1,1900.0,1900.0
"M4L1G3, Canada",1,1100.0,1100.0
"Water Walk Dr, Markham, ON L3R, Canada",1,1800.0,1800.0
"52 Sumach St, Toronto, ON M5A 3J7, Canada",1,3200.0,3200.0
"12 York St, Toronto, ON M5J 2Z2, Canada",1,2400.0,2400.0
", DOWNTOWN M5V 4A9 ON, Canada",1,2100.0,2100.0
"460 Adelaide St E, Toronto, ON, M4V 1K6",1,2480.0,2480.0
"1 The Esplanade, Toronto, ON, M5E 0A8",1,3000.0,3000.0
"560 King St W, Toronto, ON, M4V 1K6",1,2250.0,2250.0
"290 Adelaide Street West, Toronto, ON, M5V 1P6",1,1850.0,1850.0
"2386  New Street, Burlington, ON, L7R 1J7",2,1750.0,875.0
"101 Charles St, TORONTO, ON, M4Y 1V2",1,535000.0,535000.0
"700  Ross Street, Burlington, ON, L7S 1S2",2,1675.0,837.5
"1 The Esplanade, Toronto, ON, M5E 0A8",2,3400.0,1700.0
"1 SHAW ST, TORONTO, ON, M6K 0A1",1,2180.0,2180.0
"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada",1,2550.0,2550.0
", L3R9X3, markham, ON",1,1900.0,1900.0
", L6G0G3, markham, ON",1,1800.0,1800.0
